# 적 시체에서 나오는 아이템. chance 1 = 항상, 수량은 qtyMin..qtyMax 에서 뽑는다.
# 2026-09-11 (A-12): 미확인 표본(spec_*)은 **벌레 시체에서만** 나온다 — 로그 · 로그 보스 · 네임드 줄에는
#   일부러 없다 (사용자 결정: 로그는 표본에 관심이 없다). 다른 두 경로는 행성의 표본 채집지와 구조물 컨테이너다.
# 2026-09-13 (요리 재료 티어): 옛 표본 11종은 은퇴했고 새 드롭은 **미확인 세포 · 광물 · DNA** 셋뿐이다 (은퇴 아이템은 npm run data:check 가 잡는다).
#   성격별로: 세포 = 벌레 대부분 · DNA = 벌레에서 드물게(구조물 컨테이너가 본업) · 광물 = 돌격 벌레 · 포병 · 베헤모스.
# type 은 data/enemies.csv 의 적 종류와 같아야 한다. 줄을 지우면 그 드랍이 사라진다.
type,defId,qtyMin,qtyMax,chance
#   loot_factions.csv, 연구소 · 전진기지 보너스는 loot_faction_sites.csv.
raider,mat_machine_parts,1,2,0.18
raider,mat_core,1,2,0.35
raider,mat_gunpowder,2,5,0.15
raider,key_basement,1,1,0.01
raider,keycard_lab,1,1,0.01

# rogue_boss
rogue_boss,heal_bandage,1,2,1
rogue_boss,shield_charger,1,2,0.7
rogue_boss,shield_charger_hi,1,1,0.3
rogue_boss,shield_charger_full,1,1,0.08
rogue_boss,boost_adrenaline,1,1,0.4
rogue_boss,boost_stimulant,1,1,0.25
rogue_boss,boost_stabilizer,1,1,0.1
rogue_boss,mat_machine_parts,1,2,0.6
rogue_boss,mat_core,1,3,0.8
rogue_boss,key_basement,1,1,0.03
rogue_boss,keycard_lab,1,1,0.03

# 2026-09-11 네임드 로그 (shared/named.ts) — rogue_boss 수준의 일반 전리품. 확정 드롭(저격소총 · 방탄복 · 미니건)은
# 여기가 아니라 loot_named.csv 이고, 이 표를 다 굴린 **뒤에** 따로 굴린다. rogue · rogue_boss 줄은 건드리지 않았다.
# rogue_sniper — 로든. 스캔 드론을 부리던 저격수라 공중 드론 조종기를 가끔 들고 있다.
rogue_sniper,heal_bandage,1,2,1
rogue_sniper,shield_charger,1,2,0.7
rogue_sniper,shield_charger_hi,1,1,0.3
rogue_sniper,shield_charger_full,1,1,0.08
rogue_sniper,boost_stimulant,1,2,0.45
rogue_sniper,boost_stabilizer,1,1,0.15
rogue_sniper,mat_machine_parts,1,2,0.6
rogue_sniper,mat_core,1,3,0.8
rogue_sniper,gad_drone_air,1,1,0.2
rogue_sniper,key_basement,1,1,0.05
rogue_sniper,keycard_lab,1,1,0.05

# rogue_hammer — 타길라. 총이 없는 근접 거한이라 탄 대신 회복 · 수류탄 · 원격 지뢰를 챙긴다.
rogue_hammer,heal_bandage,1,2,1
rogue_hammer,heal_syringe,1,1,0.35
rogue_hammer,shield_charger,1,2,0.7
rogue_hammer,shield_charger_hi,1,1,0.4
rogue_hammer,shield_charger_full,1,1,0.1
rogue_hammer,boost_adrenaline,1,2,0.5
rogue_hammer,boost_stabilizer,1,1,0.15
rogue_hammer,grenade_frag,1,2,0.5
rogue_hammer,mat_alloy,1,3,0.5
rogue_hammer,mat_machine_parts,1,2,0.6
rogue_hammer,mat_core,1,3,0.8
rogue_hammer,gad_remote_mine,1,3,0.35
rogue_hammer,key_basement,1,1,0.05
rogue_hammer,keycard_lab,1,1,0.05

# rogue_heavy — 헤비. 탄띠를 손으로 이어 붙이던 화약 · 기계 부품이 남는다.
rogue_heavy,heal_bandage,1,2,1
rogue_heavy,shield_charger,1,2,0.7
rogue_heavy,shield_charger_hi,1,1,0.3
rogue_heavy,shield_charger_full,1,1,0.08
rogue_heavy,boost_adrenaline,1,1,0.3
rogue_heavy,boost_stimulant,1,1,0.2
rogue_heavy,boost_stabilizer,1,1,0.15
rogue_heavy,mat_gunpowder,6,14,0.6
rogue_heavy,mat_machine_parts,2,3,0.7
rogue_heavy,mat_core,1,3,0.8
rogue_heavy,gad_remote_mine,1,2,0.2
rogue_heavy,gad_drone_ground,1,1,0.15
rogue_heavy,key_basement,1,1,0.05
rogue_heavy,keycard_lab,1,1,0.05

# rogue_scan_drone — 로든의 스캔 드론. CORPSE_LOOT_CHANCE 가 0 이라 애초에 수색되지 않는다.
# 표가 없으면 "모르는 적 = 생체 조직 1" 로 떨어지므로 확률 0 한 줄로 **빈 결과**를 못박아 둔다.
rogue_scan_drone,mat_circuit,1,1,0

# sandworm — 지하벌레 (2026-09-13, 보스급). CORPSE_LOOT_CHANCE 1 = 늘 수색된다. 벌레라서 미확인 표본 셋이 넉넉하게 나오는
# 유일한 시체다 — 세포는 확정, 광물 · DNA 는 높은 확률. 은퇴 아이템은 쓰지 않는다 (npm run data:check 가 잡는다).
sandworm,mat_bio_sample,6,10,1
sandworm,terminid_gland,2,4,1
sandworm,spec_cell,2,4,1
sandworm,spec_mineral,1,3,0.8
sandworm,spec_dna,1,2,0.6
sandworm,mat_extract_bio,1,2,0.4
sandworm,alien_artifact,1,1,0.5
sandworm,seed_glowcap,1,1,0.15

