# 이름 붙은 숫자/문자열 표. 한 파일에 여러 표가 들어 있고 table 열이 그 이름이다.
# table · key 는 코드가 찾는 이름이므로 바꾸지 않는다. 고치는 것은 value 뿐이다.
# 배열형 표(ARMOR_DR_BY_TIER 등)의 key 는 0 부터 빠짐없이 이어져야 한다.
table,key,value
ARMOR_DR_BY_TIER,2,0.12
ARMOR_DR_BY_TIER,3,0.18
ARMOR_DR_BY_TIER,4,0.24
ARMOR_DR_BY_TIER,5,0.3

# ARMOR_SHIELD_BY_TIER — 방탄복 등급별 실드 최대치 (key = 0..5, 0 은 유니크라 이 표를 안 쓴다)
# 실드는 체력(100)과 별개인 추가 체력 풀이다. 피해는 실드를 먼저 비우고 남은 만큼만 체력으로 간다.
# 게이지 한 칸이 ARMOR_SHIELD_PER_SEGMENT(20)이므로 여기 값도 20 단위로 두면 칸이 딱 떨어진다.
ARMOR_SHIELD_BY_TIER,0,0
ARMOR_SHIELD_BY_TIER,1,20
ARMOR_SHIELD_BY_TIER,2,40
ARMOR_SHIELD_BY_TIER,3,60
ARMOR_SHIELD_BY_TIER,4,80
ARMOR_SHIELD_BY_TIER,5,100

# STASH_ROWS_BY_STORAGE_LEVEL — 창고 레벨별 보관함 행 수 (key = 레벨)
STASH_ROWS_BY_STORAGE_LEVEL,0,24
STASH_ROWS_BY_STORAGE_LEVEL,1,30
STASH_ROWS_BY_STORAGE_LEVEL,2,36
STASH_ROWS_BY_STORAGE_LEVEL,3,42
STASH_ROWS_BY_STORAGE_LEVEL,4,48
STASH_ROWS_BY_STORAGE_LEVEL,5,60

# PRESETS_BY_RANGE_LEVEL — 사격장 레벨별 로드아웃 프리셋 수 (key = 레벨)
PRESETS_BY_RANGE_LEVEL,0,0
PRESETS_BY_RANGE_LEVEL,1,3
PRESETS_BY_RANGE_LEVEL,2,4
PRESETS_BY_RANGE_LEVEL,3,5
PRESETS_BY_RANGE_LEVEL,4,6
PRESETS_BY_RANGE_LEVEL,5,8

# QUICK_SLOT_UNLOCK_ORDER — 퀵슬롯 해금 순서 (값 = 휠 방향 인덱스)
QUICK_SLOT_UNLOCK_ORDER,0,0
QUICK_SLOT_UNLOCK_ORDER,1,4
QUICK_SLOT_UNLOCK_ORDER,2,2
QUICK_SLOT_UNLOCK_ORDER,3,6
QUICK_SLOT_UNLOCK_ORDER,4,1
QUICK_SLOT_UNLOCK_ORDER,5,3
QUICK_SLOT_UNLOCK_ORDER,6,5
QUICK_SLOT_UNLOCK_ORDER,7,7

# PLAYER_CARRY_OFFSET — 들쳐멘 동료의 어깨 오프셋 x,y,z (m)
PLAYER_CARRY_OFFSET,0,0.24
PLAYER_CARRY_OFFSET,1,0.02
PLAYER_CARRY_OFFSET,2,0.06

# ARMOR_IMMUNE_AMMO — 장갑판에 튕기는 탄종 (문자열 목록)
ARMOR_IMMUNE_AMMO,0,light
ARMOR_IMMUNE_AMMO,1,medium
ARMOR_IMMUNE_AMMO,2,shell
ARMOR_IMMUNE_AMMO,3,pistol
ARMOR_IMMUNE_AMMO,4,rifle
ARMOR_IMMUNE_AMMO,5,shotgun

# BOOK_VALUE_BY_RARITY — 서적 등급별 판매가
BOOK_VALUE_BY_RARITY,common,150
BOOK_VALUE_BY_RARITY,uncommon,320
BOOK_VALUE_BY_RARITY,rare,700
BOOK_VALUE_BY_RARITY,epic,1500
BOOK_VALUE_BY_RARITY,legendary,3000

# IMPLANT_SLOTS_BY_GRADE — 임플란트 등급별 장착칸 소모 (key = 등급 1..4)
IMPLANT_SLOTS_BY_GRADE,1,1
IMPLANT_SLOTS_BY_GRADE,2,2
IMPLANT_SLOTS_BY_GRADE,3,2
IMPLANT_SLOTS_BY_GRADE,4,3

# REPAIR_COST_BY_DURABILITY — 남은 내구도 구간별 **수리 재료 배수** (제작 재료 기준, 올림)
# SALVAGE_YIELD_BY_DURABILITY — 같은 구간의 **분해 산출 배수** (제작 재료 기준, 내림)
# key 0 = 0~20 % · 1 = 21~40 % · 2 = 41~60 % · 3 = 61~80 % · 4 = 81~100 %.
# 내구도가 없는 아이템(가방 등)은 언제나 구간 4 로 친다.
# 두 표를 같은 구간에서 더한 값이 1 보다 작아야 「제작 → 분해 → 제작」 무한 이득이 생기지 않는다
#   (지금 0.58 · 0.56 · 0.54 · 0.52 · 0.50). 또 SALVAGE(4) − REPAIR(b) ≤ SALVAGE(b) 여야
#   「수리하고 나서 분해」가 「지금 분해」보다 이득이 되지 않는다 (0.40 − 배수 ≤ 그 구간 산출).
# 2026-09-10 사용자 확정값이다 — 0 % 장비 수리비 = 새로 만들 때 재료의 절반.
REPAIR_COST_BY_DURABILITY,0,0.5
REPAIR_COST_BY_DURABILITY,1,0.4
REPAIR_COST_BY_DURABILITY,2,0.3
REPAIR_COST_BY_DURABILITY,3,0.2
REPAIR_COST_BY_DURABILITY,4,0.1
SALVAGE_YIELD_BY_DURABILITY,0,0.08
SALVAGE_YIELD_BY_DURABILITY,1,0.16
SALVAGE_YIELD_BY_DURABILITY,2,0.24
SALVAGE_YIELD_BY_DURABILITY,3,0.32
SALVAGE_YIELD_BY_DURABILITY,4,0.4

# WEAPON_CLASS_SKILL — 무기 종류 → 사격 숙련 (권총은 기관단총을 올린다)
WEAPON_CLASS_SKILL,AR,gun_AR
WEAPON_CLASS_SKILL,SMG,gun_SMG
WEAPON_CLASS_SKILL,SR,gun_SR
WEAPON_CLASS_SKILL,DMR,gun_DMR
WEAPON_CLASS_SKILL,SG,gun_SG
WEAPON_CLASS_SKILL,PISTOL,gun_SMG

# GUN_HIT_XP — 적중 1발당 사격 숙련 경험치
GUN_HIT_XP,SR,0.12
GUN_HIT_XP,SG,0.07
GUN_HIT_XP,DMR,0.05
GUN_HIT_XP,AR,0.03
GUN_HIT_XP,SMG,0.018
GUN_HIT_XP,PISTOL,0.02

# APPRAISE_XP_BY_RARITY — 상자에서 꺼낸 아이템 등급별 감정 경험치
APPRAISE_XP_BY_RARITY,common,0.04
APPRAISE_XP_BY_RARITY,uncommon,0.07
APPRAISE_XP_BY_RARITY,rare,0.11
APPRAISE_XP_BY_RARITY,epic,0.16
APPRAISE_XP_BY_RARITY,legendary,0.24

# REP_TABLE — 신뢰도 레벨 도달에 필요한 누적 신뢰도 (key = 레벨)
REP_TABLE,0,0
REP_TABLE,1,100
REP_TABLE,2,300
REP_TABLE,3,700
REP_TABLE,4,1500
REP_TABLE,5,3000

# SHOP_RARITY_CAP_BY_REP — 신뢰도 레벨별 상점 최고 등급 (key = 레벨)
SHOP_RARITY_CAP_BY_REP,0,common
SHOP_RARITY_CAP_BY_REP,1,uncommon
SHOP_RARITY_CAP_BY_REP,2,rare
SHOP_RARITY_CAP_BY_REP,3,epic
SHOP_RARITY_CAP_BY_REP,4,legendary
SHOP_RARITY_CAP_BY_REP,5,legendary

# ROGUE_DROP_COUNT_MIN / _MAX — 로그 강하 인원 (key 0 = 분대 1명 … 3 = 분대 4명)
ROGUE_DROP_COUNT_MIN,0,2
ROGUE_DROP_COUNT_MIN,1,4
ROGUE_DROP_COUNT_MIN,2,5
ROGUE_DROP_COUNT_MIN,3,6
ROGUE_DROP_COUNT_MAX,0,3
ROGUE_DROP_COUNT_MAX,1,5
ROGUE_DROP_COUNT_MAX,2,6
ROGUE_DROP_COUNT_MAX,3,8
# ROGUE_DROP_BOSS_CHANCE — 그 강하에 로그 분대장이 섞일 확률 (key 0 = 분대 1명 … 3 = 분대 4명)
ROGUE_DROP_BOSS_CHANCE,0,0
ROGUE_DROP_BOSS_CHANCE,1,0.5
ROGUE_DROP_BOSS_CHANCE,2,1
ROGUE_DROP_BOSS_CHANCE,3,1
# WAVE_SQUAD_SCALE — 탈출 웨이브 규모 배수 (key 0 = 분대 1명 … 3 = 분대 4명).
# 웨이브 표(6 + 웨이브×2, 최대 22)는 4인 분대 기준이고 여기서 인원수만큼 깎는다.
# 1인 분대가 3번째 웨이브에서 점프 사냥꾼 두 마리를 동시에 받던 것을 한 마리로 만드는 값이다.
WAVE_SQUAD_SCALE,0,0.45
WAVE_SQUAD_SCALE,1,0.65
WAVE_SQUAD_SCALE,2,0.85
WAVE_SQUAD_SCALE,3,1
